DB_SERVER        CUSTOMERID           INSTITUTIONID ORG_TIMEZONE                                                                                                                                                                                                                                              ORG_CODE                                       ORG_NAME
DWH_NA01_A_RO       7540          7541 Asia/Hong_Kong                                                                                                                                                                                                                                                  852SFU_INST                                        Saint Francis University
DWH_NA01_A_RO       7545          7546 Asia/Hong_Kong                                                                                                                                                                                                                                                  852HKSYU_INST                                      Hong Kong Shue Yan University
DWH_NA01_A_RO       7550          7551 Asia/Macau                                                                                                                                                                                                                                                      853CUM_INST                                        City University of Macau
DWH_NA01_A_RO       7590          7591 Asia/Seoul                                                                                                                                                                                                                                                      82ULSAN_INST                                       University of Ulsan
DWH_NA01_A_RO       7745          7746 Asia/Taipei                                                                                                                                                                                                                                                     886CCPL_INST                                       Chiang Chingkuo Presidential Library
DWH_NA01_A_RO       7970          7971 Asia/Singapore                                                                                                                                                                                                                                                  65ITE_INST                                         Institute of Technical Education ITE
DWH_NA01_A_RO       7975          7976 Asia/Taipei                                                                                                                                                                                                                                                     886NCHU_INST                                       National Chung Hsing University
DWH_NA01_A_RO       7975          7977 Asia/Taipei                                                                                                                                                                                                                                                     886NSYSU_INST                                      National Sun Yat-sen University
DWH_NA01_A_RO       7975          7978 Asia/Taipei                                                                                                                                                                                                                                                     886NCKU_INST                                       National Cheng Kung University
DWH_NA01_A_RO       7975          7979 Asia/Taipei                                                                                                                                                                                                                                                     886CCU_INST                                        National Chung Cheng University
DWH_NA01_A_RO       8060          8061 Asia/Hong_Kong                                                                                                                                                                                                                                                  852HKMU_INST                                       Hong Kong Metropolitan University
DWH_NA01_A_RO       8060          8062 Asia/Hong_Kong                                                                                                                                                                                                                                                  852TWC_INST                                        Tung Wah College
DWH_NA01_A_RO       8060          8063 Asia/Hong_Kong                                                                                                                                                                                                                                                  852CHCHE_INST                                      Hong Kong Chu Hai College
DWH_NA01_A_RO       8060          8064 Asia/Hong_Kong                                                                                                                                                                                                                                                  852HSUHK_INST                                      The Hang Seng University of Hong Kong
DWH_NA01_A_RO       8080          8081 Asia/Singapore                                                                                                                                                                                                                                                  65SPO_NYP                                          Nanyang Polytechnic
