State/Province,Country,Country Lookup: Time Zone,Exlibris Customer Care Region,Account Name,Account Name Internal,Account Currency
Nordrhein-Westfalen,Germany,Europe/Berlin,EMEA ANZ,IST Hochschule,IST Hochschule fur Management,USD
NC,United States,,NA,Catawba County Schools,Catawba County Schools,USD
ST. GALLEN,Switzerland,Europe/Brussels,EMEA ANZ,Padagogische Hochschule Sankt Gallen,Padagogische Hochschule Sankt Gallen,USD
NC,United States,,NA,Haywood County Schools,Haywood County Schools,USD
Budapest,Hungary,Europe/Brussels,EMEA ANZ,Metropolitan Ervin Szabo Library,Fovarosi Szabo Ervin Konyvtar,USD
AL,United States,,NA,Wallace State Community College,Wallace State Community College Accounts Payable,USD
OH,United States,,NA,Lake Middle School,Lake Middle School,USD
DF,Brazil,,LATAM,Centro Univ. Planalto Central Apparecido Santos,University Center of the Central Plateau Apparecido dos Santos UNICEPLAC,USD
WI,United States,,NA,Elkhart Lake-Glenbeulah School District,Elkhart Lake-Glenbeulah School District,USD
NC,United States,,NA,Richmond Community College,Richmond Community College Library,USD
Nordrhein-Westfalen,Germany,Europe/Berlin,EMEA ANZ,IQWiG,Institut fur Qualitat und Wirtschaftlichkeit im Gesundheitswesen,USD
TX,United States,,NA,Texas Commission On Environmental Quality,Texas Commission On Environmental Quality,USD
New South Wales,Australia,,EMEA ANZ,Blue Mountains City Library Services,Blue Mountains City Library Services,AUD
Nuble,Chile,,LATAM,Universidad Adventista de Chile,Adventist University of Chile,USD
Paris,France,Europe/Paris,EMEA ANZ,Université Pierre et Marie Curie,Sorbonne Universite Campus Pierre et Marie Curie,USD
MD,United States,,NA,Uniformed Services University,Diss - Uniformed Services University of the Health Sciences ILL,USD
Victoria,Australia,,EMEA ANZ,Northern Health,Northern Hospital,USD
WI,United States,,NA,University of Wisconsin System,University of Wisconsin System,USD
GA,United States,,NA,Galileo,Galileo,USD
New South Wales,Australia,,EMEA ANZ,St George Hospital,Saint George Hospital New South Wales,USD
AL,United States,,NA,Univ of Alabama at Birmingham,Univ of Alabama at Birmingham,USD
BC,Canada,,NA,Victoria Genealogical Society,Victoria Genealogical Society,USD
SC,United States,,NA,University of South Carolina,University of South Carolina Columbia,USD
GA,United States,,NA,University of Georgia Law Library,University of Georgia Law Library,USD
IA,United States,,NA,University Of Northern Iowa,University of Northern Iowa Rod Library,USD
BJ,China,Asia/Shanghai,APAC,Chinese Corporation for Promotion of Humanities,Chinese Corporation for the Promotion of Humanities,USD
Sachsen,Germany,Europe/Berlin,EMEA ANZ,Mpi Pks Dresden,Max-Planck-Institut fur Physik komplexer Systeme,USD
IA,United States,,NA,University of Iowa,University of Iowa Department of Biology,USD
Alajuela,Costa Rica,America/El_Salvador,LATAM,INCAE,INCAE Business School Walter Kissling Gam Campus Alajuela,USD
MG,Brazil,,LATAM,Universidade Federal de Sao Joao del-Rei,Federal University of Sao Joao del-Rei,USD
OR,United States,,NA,Oregon Health and Science University West Campus,Oregon Health and Science University West Campus,USD
QC,Canada,,NA,Ecole Polytechnique De Montreal,Ecole Polytechnique de Montreal Bureau de la recherche et Centre de développemen,USD
,Taiwan,Asia/Taipei,APAC,Tzu Chi University,Tzu Chi University,USD
Uusimaa,Finland,Europe/Helsinki,EMEA ANZ,Bank Of Finland,Suomen Pankki,USD
Sachsen-Anhalt,Germany,,EMEA ANZ,Leibniz Institute of Plant Genetics IPK,Leibniz-Institut fur Pflanzengenetik und Kulturpflanzenforschung Gatersleben,USD
,Finland,Europe/Helsinki,EMEA ANZ,Finnish Heritage Agency,Museovirasto,USD
Hessen,Germany,Europe/Berlin,EMEA ANZ,Hyginus Publisher GmbH Fresenius Lit Service,Hygieneplan GmbH,USD
,United Kingdom,Europe/London,EMEA ANZ,Natural Environment Research Council,Natural Environment Research Council,USD
Region Metropolitana,Chile,,LATAM,Escuela de Aviacion Capitan Manuel Avalos Prado,Escuela de Aviacion Capitan Manuel Avalos Prado,USD
Baden-Wuerttemberg,Germany,Europe/Berlin,EMEA ANZ,Staatl Museum fuer Naturkunde,Staatl Museum fuer Naturkunde,USD
,Taiwan,Asia/Taipei,APAC,FlySheet Technologies Co Ltd,FlySheet Technologies Co Ltd,USD
Nordrhein-Westfalen,Germany,Europe/Berlin,EMEA ANZ,Dietmar Dreier Wissenschaftliche Versandbuchhandlung GmbH,Dietmar Dreier Scientific Mail Order Bookstore GmbH,USD
,Hungary,Europe/Brussels,EMEA ANZ,Hungarian Competition Authority,Gazdasagi Versenyhivatal,USD
,United Kingdom,Europe/London,EMEA ANZ,University of Wales Trinity Saint David Lampeter,University of Wales Trinity Saint David Lampeter Campus Library,USD
Niedersachsen,Germany,Europe/Berlin,EMEA ANZ,EBRC Consulting GmbH,EBRC Consulting GmbH,USD
Niedersachsen,Germany,Europe/Berlin,EMEA ANZ,Herzog August Bibliothek,Herzog August Bibliothek.,USD
Andres Ibanez,"Bolivia, Plurinational State of",America/Puerto_Rico,LATAM,UVirtual,UVirtual,USD
Niedersachsen,Germany,Europe/Berlin,EMEA ANZ,Schweitzer Fachinformationen oHG,Schweitzer Fachinformationen oHG Oldenburg,USD
,Switzerland,Europe/Brussels,EMEA ANZ,Glion Institute of Higher Education,Glion Institute of Higher Education,USD
NY,United States,,NA,Clarkson University,Clarkson University Libraries,USD
NY,United States,,NA,Cornell University,Cornell University Division of Financial Affairs,USD
Sachsen-Anhalt,Germany,Europe/Berlin,EMEA ANZ,Max Planck Institute For Social Anthropology,Max-Planck-Institut fur ethnologische Forschung,USD
ZUERICH,Switzerland,Europe/Brussels,EMEA ANZ,Universitat Zurich (HBZ),Universitat Zurich Department of Finance,USD
NY,United States,,NA,Hamilton College,,USD
Attica,Greece,Europe/Athens,EMEA ANZ,Nhrf-natl Doc Cntr,National Documentation Centre,EUR
