State/Province,Country,Country Lookup: Time Zone,Exlibris Customer Care Region,Account Name,Account Name Internal,Account Currency
,Thailand,Asia/Bangkok,APAC,Rajabhat Mahasarakham University (RMU),Rajabhat Mahasarakham University Bangkok,USD
,United Arab Emirates,Asia/Dubai,EMEA ANZ,Emirates Institute for Finance,Emirates Institute for Banking and Financial Studies,USD
NJ,United States,,NA,Ramapo High School,Ramapo High School,USD
ME,United States,,NA,Walker Memorial Library,WALKER MEMORIAL LIBRARY,USD
BANGKOK,Thailand,Asia/Bangkok,APAC,Ramkhamhaeng University,Ramkhamhaeng University,USD
TX,United States,,NA,Fort Worth Country Day School,Fort Worth Country Day School,USD
MB,Canada,,NA,Red River College Polytechnic Exchange District,Red River College Exchange District Campus Library,USD
NM,United States,,NA,Rio Rancho Public Library,RIO RANCHO PUBLIC LIBRARY,USD
NC,United States,,NA,Randolph Public Library,Randolph Public Library,USD
CA,United States,,NA,California State Library,California State Library,USD
Kanagawa,Japan,Asia/Tokyo,APAC,Ricoh Co Ltd,Kabushiki Kaisha Ricoh Numazu Jigyosho Minami Plant,USD
VIC,Australia,,EMEA ANZ,Redland City Council Library,Civica - Redland City Council Library QLD,USD
AZ,United States,,NA,Chandler Public Library,CHANDLER PUBLIC LIBRARY,USD
,Thailand,Asia/Bangkok,APAC,Rattana Bundit University,Rattana Bundit University,USD
LA,United States,,NA,Episcopal School,Episcopal High School Louisiana,USD
,United Kingdom,Europe/London,EMEA ANZ,Reeds School,Reed's School,USD
AZ,United States,,NA,Mesa Public Library,CITY OF MESA MAIN LIBRARY,USD
NH,United States,,NA,Sanborn Middle School,Sanborn Regional Middle School,USD
TX,United States,,NA,Plano Independent School District,Plano Independent School District,USD
CA,United States,,NA,Sandia National Labs Livermore,Sandia National Laboratories California,USD
MI,United States,,NA,Caroline Kennedy Library,DEARBORN HEIGHTS CITY LIBRARIES,USD
Maine-et-Loire,France,Europe/Paris,EMEA ANZ,Scd Universite D'Angers,Universite d'Angers UFR Droit Economie et Gestion,USD
MD,United States,,NA,USDA APHIS Biotechnology Regulatory Services,USDA APHIS Biotechnology Regulatory Services,USD
MI,United States,,NA,Royal Oak Public Library,ROYAL OAK PUBLIC LIBRARY,USD
MA,United States,,NA,Robbins Library,Robbins Library,USD
NY,United States,,NA,SUNY Upstate Medical University,SUNY Upstate Medical University Research Administration,USD
CA,United States,,NA,San Francisco Maritime National,San Francisco Maritime National Historical Park,USD
CT,United States,,NA,Mark Twain Library Association,Mark Twain Library Association,USD
,"Korea, Republic of",Asia/Seoul,APAC,Sangmyung University,Sangmyung University,USD
IA,United States,,NA,Museum of Danish America Genealogy Center,Danish Immigrant Museum,USD
ME,United States,,NA,Scarborough Public Library,Scarborough Public Library - ME,USD
NJ,United States,,NA,Ocean City Free Public Library,OCEAN CITY FREE PUBLIC LIBRARY,USD
AZ,United States,,NA,Scottsdale Public Library,SCOTTSDALE PUBLIC LIBRARY,USD
NJ,United States,,NA,Sanofi Aventis US,Sanofi-Aventis US Global IP,USD
AL,United States,,NA,NASA Marshall Space Flight Center,NASA Marshall Space Flight Center,USD
TX,United States,,NA,Sanofi US Services Inc,Sanofi US Services Inc TX,USD
AK,United States,,NA,Alaska State Library,Alaska State Library,USD
AK,United States,,NA,Juneau Public Library,JUNEAU PUBLIC LIBRARIES,USD
WA,United States,,NA,Bastyr University,Bastyr University Library,USD
MH,India,Asia/Kolkata,APAC,Sant Gadge Baba Amravati University,Sant Gadge Baba Amravati University,USD
MI,United States,,NA,Northern Michigan University,Northern Michigan University Lydia M Olson Library,USD
AZ,United States,,NA,Arizona State Library,Arizona State Library,USD
Seoul,"Korea, Republic of",Asia/Seoul,APAC,Sahmyook University,Sahmyook University,USD
MA,United States,,NA,Dedham Public Library,Dedham Public Library,USD
Victoria,Australia,,EMEA ANZ,Royal Melbourne Hospital,Royal Melbourne Hospital,USD
WA,United States,,NA,VAMC Puget Sound Health Care System Seattle Division,VAMC Puget Sound Health Care System Seattle Division,USD
NJ,United States,,NA,Rutgers University Camden,Rutgers University Camden Paul Robeson Library,USD
MO,United States,,NA,State Historical Society of Missouri,State Historical Society of Missouri,USD
OK,United States,,NA,Sapulpa Public Library,SAPULPA - BARTLETT CARNEGIE PUBLIC LIBRARY,USD
New South Wales,Australia,,EMEA ANZ,City of Ryde,City of Ryde,USD
MA,United States,,NA,Morse Institute Public Library,Morse Institute Library,USD
CA,United States,,NA,A K Smiley Public Library,A. K. SMILEY PUBLIC LIBRARY,USD
IN,United States,,NA,East Chicago Public Library,EAST CHICAGO PUBLIC LIBRARY,USD
IN,United States,,NA,Rushville Public Library,RUSHVILLE PUBLIC LIBRARY,USD
NJ,United States,,NA,Warren County Library,Warren County Library - NJ,USD
IL,United States,,NA,Northeastern Illinois University,Northeastern Illinois University Ronald Williams Library,USD
NV,United States,,NA,Nevada State University,Nevada State University MaryDean Martin Library,USD
IL,United States,,NA,Glenside Public Library,GLENSIDE PUBLIC LIBRARY DISTRICT,USD
,"Korea, Republic of",Asia/Seoul,APAC,Rural Development Admin,Rural Development Administration,USD
NJ,United States,,NA,Phillipsburg Free Public Library,PHILLIPSBURG FREE PUBLIC LIBRARY,USD
GJ,India,Asia/Kolkata,APAC,Sardar Vallabhai National Institute of Technology,Sardar Vallabhbhai National Institute of Technology,USD
AZ,United States,,NA,Central Arizona College,Central Arizona College Library,USD
OH,United States,,NA,Oberlin Public Library,OBERLIN PUBLIC LIBRARY,USD
IL,United States,,NA,Lansing Public Library,LANSING PUBLIC LIBRARY,USD
AR,United States,,NA,Saline County Library,Saline County Library,USD
SK,Canada,,NA,Saskatchewan Polytechnic Saskatoon,Saskatchewan Polytechnic Saskatoon,USD
NV,United States,,NA,Great Basin College,Great Basin College Library,USD
OR,United States,,NA,Multnomah County Library,Multnomah County Library,USD
IA,United States,,NA,Northwestern College,Northwestern College of Iowa DeWitt Library,USD
MI,United States,,NA,Saugatuck-Douglas District Library,Saugatuck-Douglas District Library,USD
NY,United States,,NA,Saratoga Springs Public Library,SARATOGA SPRINGS PUBLIC LIBRARY,USD
MI,United States,,NA,Herrick District Library,HERRICK DISTRICT LIBRARY,USD
,"Korea, Republic of",Asia/Seoul,APAC,Seoul National University of Education,Seoul National University of Education,USD
IL,United States,,NA,Downers Grove Public Library,DOWNERS GROVE PUBLIC LIBRARY,USD
IL,United States,,NA,Prospect Heights Public Library,PROSPECT HEIGHTS PUBLIC LIBRARY DISTRICT,USD
LN,China,Asia/Shanghai,APAC,Shenyang Agricultural University,Shenyang Agricultural University,USD
MI,United States,,NA,Oakland University,Oakland University Kresge Library,USD
OH,United States,,NA,Bexley Public Library,BEXLEY PUBLIC LIBRARY,USD
IL,United States,,NA,Cook County Law Library,Cook County Law Library,USD
WI,United States,,NA,Mead Public Library,Mead Public Library,USD
IA,United States,,NA,Coralville Public Library,CORALVILLE PUBLIC LIBRARY,USD
Chiba,Japan,,APAC,Showa Denko Kk,Showa Denko Kabushiki Kaisha Sentan Gijutsu Kaihatsu Kenkyujo,USD
IA,United States,,NA,Iowa City Public Library,IOWA CITY PUBLIC LIBRARY,USD
CO,United States,,NA,History Colorado,Colorado Historical Society,USD
TX,United States,,NA,Dodge City Public Library,Biblionix LLC - Dodge City Public Library KS,USD
TN,United States,,NA,Oak Ridge National Laboratory,Oak Ridge National Laboratory,USD
CA,United States,,NA,Beverly Hills Public Library,BEVERLY HILLS PUBLIC LIBRARY,USD
WI,United States,,NA,Arrowhead Library System,Arrowhead Library System,USD
NE,United States,,NA,North Platte Public Library,North Platte Public Library - North Platte NE,USD
NE,United States,,NA,Omaha Public Library,Omaha Public Library,USD
Kyunggi-Do,"Korea, Republic of",Asia/Seoul,APAC,Seoul Theological University,Seoul Theological University,USD
Chungbuk,"Korea, Republic of",Asia/Seoul,APAC,Seowon University,Seowon University,USD
IL,United States,,NA,Normal Public Library,NORMAL PUBLIC LIBRARY,USD
MA,United States,,NA,Shrewsbury Public Library,Shrewsbury Public Library,USD
CA,United States,,NA,Marymount High School,Marymount High School,USD
Beyrouth,Lebanon,Europe/Athens,EMEA ANZ,Lebanese American University (LAU),Lebanese American University Libraries,USD
,Taiwan,Asia/Taipei,APAC,Shu Te University,Shu Te University,USD
CA,United States,,NA,Occidental College,Occidental College Mary Norton Clapp Library,USD
OH,United States,,NA,Columbus Metropolitan Library,COLUMBUS METROPOLITAN LIBRARY,USD
ND,United States,,NA,Fargo Public Library,FARGO PUBLIC LIBRARY,USD
OH,United States,,NA,Ohio Northern University,Ohio Northern University Taggart Law Library,USD
MI,United States,,NA,Redford Township District Library,REDFORD TOWNSHIP DISTRICT LIBRARY,USD
NY,United States,,NA,Siemens Healthcare Diagnostics,Siemens Healthcare Diagnostics Inc,USD
IA,United States,,NA,Scott County Library System,SCOTT COUNTY LIBRARY SYSTEM,USD
Tokyo,Japan,Asia/Tokyo,APAC,Shimonoseki City University,Shimonoseki Shiritsu Daigaku,USD
UT,United States,,NA,Orem Public Library,OREM PUBLIC LIBRARY,USD
Tel Aviv,Israel,Asia/Jerusalem,EMEA ANZ,Shaar Zion Library,Beit Ariela Shaar Zion Library,USD
OR,United States,,NA,Clackamas Community College,Clackamas Community College,USD
Hyogo,Japan,Asia/Tokyo,APAC,Kobelco Business Partners Company Limited,Kobelco Business Partners Company Limited,USD
OH,United States,,NA,Ohio University Athens,Ohio University Vernon R Alden Library,USD
TX,United States,,NA,Frisco Public Library,FRISCO PUBLIC LIBRARY,USD
NY,United States,,NA,Smithtown Library,Smithtown Library,USD
AR,United States,,NA,Barton Library,BARTON LIBRARY,USD
UT,United States,,NA,Shire of Gannawarra Public Library,Sirsi Corporation - Shire of Gannawarra Public Library VIC,USD
OH,United States,,NA,Ohio Wesleyan University,Ohio Wesleyan University Libraries,USD
IL,United States,,NA,Cherry Valley District Library,CHERRY VALLEY PUBLIC LIBRARY DISTRICT,USD
SD,China,Asia/Shanghai,APAC,Shandong Agricultural University,Shandong Agricultural University,USD
OK,United States,,NA,Oklahoma State University - Stillwater,Oklahoma State University Stillwater Edmon Low Library,USD
AR,United States,,NA,Arkansas State Archives,Arkansas State Archives,USD
SD,China,Asia/Shanghai,APAC,QiLu University of Technology,QiLu University of Technology,USD
NJ,United States,,NA,Paterson Free Public Library,PATERSON FREE PUBLIC LIBRARY,USD
NJ,United States,,NA,Hoboken Public Library,HOBOKEN PUBLIC LIBRARY,USD
SD,China,Asia/Shanghai,APAC,Shandong Kejishiye Co,Shandong Kejishiye Co,USD
,"Iran, Islamic Republic of",Asia/Tehran,EMEA ANZ,Ministry of Health and Medical Education,Iran Ministry of Health and Medical Education,USD
SX,China,Asia/Shanghai,APAC,Shanxi University of Finance and Economics,Shanxi University of Finance and Economics,USD
County Dublin,Ireland,Europe/Dublin,EMEA ANZ,Taighde Eireann ? Research Ireland,Taighde Eireann ? Research Ireland,EUR
IL,United States,,NA,Olivet Nazarene University,Olivet Nazarene University Benner Library,USD
,Netherlands,,EMEA ANZ,Science Plus Group,Science Plus Group BV,EUR
IL,United States,,NA,Green Hills Public Library,GREEN HILLS PUBLIC LIBRARY DISTRICT,USD
IL,United States,,NA,Tinley Park Public Library,TINLEY PARK PUBLIC LIBRARY,USD
Riga,Latvia,Europe/Athens,EMEA ANZ,Riga Technical University,Rigas Tehniska universitate Zinatniska biblioteka,USD
OH,United States,,NA,Otterbein University,Otterbein University Courtright Memorial Library,USD
PA,United States,,NA,Indian Valley Public Library,INDIAN VALLEY PUBLIC LIBRARY,USD
SC,United States,,NA,Laurens County Library,Laurens County Library System,USD
MA,United States,,NA,Ovid Technologies Inc,Ovid Technologies Inc Norwood,USD
VA,United States,,NA,Colonial Williamsburg Foundation,Colonial Williamsburg Foundation John D Rockefeller Junior Library,USD
Tokyo,Japan,Asia/Tokyo,APAC,Seijo University,Seijo University Library,USD
NY,United States,,NA,Pace University at New York,Pace University,USD
OR,United States,,NA,Pacific University,Pacific University Harvey W Scott Memorial Library,USD
ON,Canada,,NA,Whitchurch-Stouffville Public Library,Whitchurch-Stouffville Public Library,USD
IL,United States,,NA,Scott Air Force Base,Scott Air Force Base,USD
PA,United States,,NA,Pennsylvania State University Abington,Pennsylvania State University Abington Campus Library,USD
PA,United States,,NA,Hershey Public Library,HERSHEY PUBLIC LIBRARY,USD
WI,United States,,NA,Sheboygan Area School District,Sheboygan Area School District WI,USD
PA,United States,,NA,Whitehall Township Public Library,WHITEHALL TOWNSHIP PUB LIBRARY,USD
,United Kingdom,Europe/London,EMEA ANZ,Scottish Government Library,Scottish Government Library,USD
WI,United States,,NA,Lake Mills Middle School,Lake Mills Middle School,USD
MI,United States,,NA,Grace A Dow Memorial Library,GRACE A. DOW MEMORIAL LIBRARY,USD
CA,United States,,NA,Scripps Research,Scripps Research Kresge Library,USD
MA,United States,,NA,Weston Public Library,Weston Public Library - Weston MA,USD
CA,United States,,NA,Bryan College,Bryan University Los Angeles Permanently Closed,USD
BC,Canada,,NA,Selkirk College,Selkirk College Library,USD
PA,United States,,NA,Pittsburgh Theological Seminary,Pittsburgh Theological Seminary Clifford E Barbour Library,USD
ON,Canada,,NA,Shelburne Public Library,Shelburne Public Library,USD
CA,United States,,NA,Point Loma Nazarene University,Point Loma Nazarene University Ryan Library,USD
FL,United States,,NA,Seminole State College,Seminole State College,USD
WI,United States,,NA,Eager Free Public Library,EAGER FREE PUBLIC LIBRARY,USD
ON,Canada,,NA,Seneca College Bookstore,Seneca College Bookstore King Campus,USD
OR,United States,,NA,Portland State University,Portland State University Branford Price Millar Library,USD
,United Kingdom,Europe/London,EMEA ANZ,South Ayrshire Council,South Ayrshire Council Library Headquarters,USD
SP,Brazil,,LATAM,Sociedade Beneficente Israelita Brasileira Albert Einstein,Albert Einstein Israelite Hospital,USD
TX,United States,,NA,Prairie View A&M University,Prairie View A&M University John B Coleman Library,USD
YN,China,Asia/Shanghai,APAC,Southwest Forest University,Southwest Forestry University,USD
KY,United States,,NA,Hardin County Public Library,HARDIN COUNTY PUBLIC LIBRARY,USD
FL,United States,,NA,St Johns County Public Library,Saint Johns County Public Library System,USD
IL,United States,,NA,Cicero Public Library,CICERO PUBLIC LIBRARY,USD
NY,United States,,NA,St Joseph's University NY,St Joseph's University NY Long Island Campus Callahan Library,USD
NY,United States,,NA,Pratt Institute Library,Pratt Institute Libraries,USD
IL,United States,,NA,Champaign Public Library,Champaign Public Library,USD
KY,United States,,NA,Southeast Kentucky Community and Technical College,Southeast Kentucky Community and Technical College Library,USD
IL,United States,,NA,Mount Prospect Public Library,Mount Prospect Public Library,USD
CA,United States,,NA,St Joseph High School,Archdioceses Of Los Angeles - Saint Joseph High School,USD
OH,United States,,NA,Massillon Public Library,MASSILLON PUBLIC LIBRARY,USD
Jihomoravsky Kraj,Czech Republic,Europe/Prague,EMEA ANZ,St Anne's University Hospital Brno,St. Annes University Hospital Brno,USD
NJ,United States,,NA,Princeton Theological Seminary,Princeton Theological Seminary Wright Library,USD
WI,United States,,NA,Mineral Point Public Library,Mineral Point Public Library,USD
,United Kingdom,Europe/London,EMEA ANZ,Southend City Council,Southend City Council,GBP
WI,United States,,NA,Wisconsin Valley Library Service,Wisconsin Valley Library Service,USD
RI,United States,,NA,Providence College,Providence College Phillips Memorial Library,USD
ON,Canada,,NA,Trillium Health Partners,Trillium Health Partners,USD
NY,United States,,NA,Upper Hudson Library,Upper Hudson Library,USD
Sohag,Egypt,Africa/Cairo,EMEA ANZ,Sohag University,Sohag University,USD
KY,United States,,NA,Hopkinsville Christian County Library,HOPKINSVILLE-CHRISTIAN COUNTY PUBLIC LIBRARY,USD
,United Kingdom,Europe/London,EMEA ANZ,Solihull MBC,Solihull Metropolitan Borough Council,USD
CT,United States,,NA,Quinnipiac University,Quinnipiac University Arnold Bernhard Library,USD
,United Kingdom,Europe/London,EMEA ANZ,Southern Health NHS Foundation Trust,Southern Health NHS Foundation Trust,USD
VA,United States,,NA,Radford University,Radford University McConnell Library,USD
MI,United States,,NA,Novi Public Library,Novi Public Library,USD
NY,United States,,NA,Solomon R Guggenheim Foundation,Solomon R Guggenheim Foundation,USD
VA,United States,,NA,Randolph-Macon College,Randolph Macon College McGraw-Page Library,USD
AZ,United States,,NA,Maricopa County Library District,Maricopa County Library District,USD
GD,China,Asia/Shanghai,APAC,South China University of Technology,South China University of Technology,USD
OR,United States,,NA,Reed College Library,Reed College Library,USD
VA,United States,,NA,Regent University,Regent University Library,USD
CO,United States,,NA,Regis University,Regis University Dayton Memorial Library,USD
CA,United States,,NA,Ventura County Library,Ventura County Library,USD
RI,United States,,NA,Rhode Island School of Design,Rhode Island School of Design,USD
CA,United States,,NA,Livermore Public Library,LIVERMORE PUBLIC LIBRARY,USD
,United Kingdom,Europe/London,EMEA ANZ,Somerset Council,Somerset Libraries,USD
NJ,United States,,NA,Secaucus Public Library,SECAUCUS FREE PUBLIC LIBRARY,USD
SD,United States,,NA,South Dakota School of Mines,South Dakota School of Mines and Technology Devereaux Library,USD
TX,United States,,NA,Hurst Public Library,HURST PUBLIC LIBRARY,USD
TX,United States,,NA,Rice University,Rice University Fondren Library,USD
CA,United States,,NA,Las Lomas High School,Las Lomas High School,USD
AL,United States,,NA,Somerville Public Library,"Book Systems, Inc - Somerville Public Library",USD
NJ,United States,,NA,Stockton University,Stockton University Richard E Bjork Library,USD
FL,United States,,NA,Charlotte County Library System,Charlotte County Library System,USD
New South Wales,Australia,,EMEA ANZ,Goulburn Mulwaree Library,Goulburn Mulwaree Library,USD
TX,United States,,NA,Tarrant County College,Tarrant County College J Ardis Bell Library,USD
,United Kingdom,Europe/London,EMEA ANZ,St George's Hospital,Saint George's Hospital,USD
,United Kingdom,Europe/London,EMEA ANZ,St Georges Hosp Med Schl,University of London Saint George's,USD
NJ,United States,,NA,Rider University,Rider University Moore Library,USD
KY,United States,,NA,Madison County Public Library,Madison County Public Library - KY,USD
,United Kingdom,Europe/London,EMEA ANZ,South London and Maudsley NHS Foundation Trust,Lambeth Hospital Reay House Library,USD
WI,United States,,NA,Ripon College,Ripon College Lane Library,USD
OK,United States,,NA,Bartlesville Public Library,Bartlesville Public Library OK,USD
FL,United States,,NA,St Petersburg College,Saint Petersburg College Clearwater Campus Library,USD
OH,United States,,NA,Upper Arlington Public Library,UPPER ARLINGTON PUBLIC LIBRARY,USD
Uppsala,Sweden,Europe/Brussels,EMEA ANZ,Sveriges Lantbruksuniversitet,Sveriges lantbruksuniversitet,USD
IL,United States,,NA,North Suburban Library District,North Suburban Library Roscoe,USD
NJ,United States,,NA,Willingboro Public Library,WILLINGBORO PUBLIC LIBRARY,USD
UT,United States,,NA,Swan Hill Regional Library,Sirsi Corp- Swan Hill Regional Library VIC,USD
NY,United States,,NA,Rochester Institute of Technology,Rochester Institute of Technology Wallace Center,USD
FL,United States,,NA,Marion County Public Library System,Marion County Public Library System,USD
,United Kingdom,Europe/London,EMEA ANZ,Stockport Libraries,Stockport Libraries,GBP
IN,United States,,NA,Rose Hulman Institute of Technology,Rose Hulman Institute of Technology,USD
IL,United States,,NA,Indian Trails Public Library,INDIAN TRAILS PUBLIC LIBRARY DISTRICT,USD
MN,United States,,NA,Rosemount Apple Valley Eagan Indep School Dist 196,Rosemount Apple Valley Eagan Independent School District 196,USD
,United Kingdom,Europe/London,EMEA ANZ,Stoke On Trent Libraries,Stoke On Trent City Central Library,USD
RJ,India,Asia/Kolkata,APAC,Mohanlal Sukhadia University,Mohanlal Sukhadia University,USD
MA,United States,,NA,American Antiquarian Society,American Antiquarian Society,USD
,"Korea, Republic of",Asia/Seoul,APAC,Ewha Womans University,Ewha Womans University Library,USD
Mont-Liban,Lebanon,Europe/Athens,EMEA ANZ,Holy Spirit University of Kaslik USEK,Holy Spirit University of Kaslik Library,USD
Jaemtland,Sweden,Europe/Brussels,EMEA ANZ,Stora Enso Oyj,Stora Enso AB,USD
Osaka,Japan,Asia/Tokyo,APAC,Sumitomo Chemical Co Ltd,Sumitomo Kagaku Kabushiki Kaisha,USD
,United Kingdom,Europe/London,EMEA ANZ,Manchester Grammar School,Manchester Grammar School,USD
MAZOWIECKIE,Poland,Europe/Brussels,EMEA ANZ,Szkola Wyzsza Psychologii Spolecznej,SWPS University of Social Sciences and Humanities,USD
CO,United States,,NA,Pikes Peak Regional District Library,Pikes Peak Library District,USD
SC,United States,,NA,Sun City Hilton Head Computer Club,Sun City Hilton Head Computer Club Bluffton,USD
NY,United States,,NA,Mount Kisco Public Library,Mount Kisco Public Library,USD
VA,United States,,NA,Virginia Community College System,Virginia Community College System,USD
MI,United States,,NA,Capital Area District Library,Capital Area District Library,USD
New South Wales,Australia,,EMEA ANZ,Navitas Australia Pty Limited Taylors College Sydney,Navitas Australia Pty Limited Taylors College Sydney,USD
WV,United States,,NA,Cabell County Public Library,Cabell County Public Library,USD
BC,Canada,,NA,Okanagan Regional Library,Okanagan Regional Library,USD
TX,United States,,NA,Sundown Independent School District,Sundown Independent School District,USD
Atacama,Chile,,LATAM,Universidad de Atacama,University of Atacama,USD
KY,United States,,NA,Rowan County Public LIbrary,Rowan County Public Library,USD
Kyonggi-Do,"Korea, Republic of",Asia/Seoul,APAC,Sungkyul Univ Lib & Info Ctr,Sungkyul University Library and Information Center,USD
SK,Canada,,NA,Saskatchewan Information & Library Services Consortium,Southeast Regional Library,USD
Osaka,Japan,Asia/Tokyo,APAC,Sunmedia Co Ltd,Sunmedia Co Ltd Kyomachibori,USD
AL,United States,,NA,Florence-Lauderdale Public Library,Florence-Lauderdale Public Library,USD
OH,United States,,NA,Wadsworth Public Library,Wadsworth Public Library AKA Ella M Everhard Public Library,USD
CHUNGCHEONGNAM-DO,"Korea, Republic of",Asia/Seoul,APAC,Sun Moon University,Sun Moon University,USD
MN,United States,,NA,Saint Michael Albertville High School,Saint Michael Albertville High School,USD
MI,United States,,NA,Saginaw Valley State University,Saginaw Valley State University Melvin J Zahnow Library,USD
Region Metropolitana,Chile,,LATAM,Universidad Diego Portales,Universidad Diego Portales,USD
,New Zealand,,EMEA ANZ,St Martins Episcopal School,Access-It - St Martin's Episcopal School Atlanta GA,USD
NJ,United States,,NA,Middletown Township Library,MIDDLETOWN TOWNSHIP PUBLIC LIBRARY,USD
Cagayan,Philippines,Asia/Manila,APAC,Saint Paul University,Saint Paul University Philippines,USD
IA,United States,,NA,St. Ambrose University,Saint Ambrose University,USD
Cote-d'Or,France,Europe/Paris,EMEA ANZ,Burgundy School of Business,Burgundy School of Business,EUR
NH,United States,,NA,Saint Anselm College,Saint Anselm College Joseph H Geisel Library,USD
,"Korea, Republic of",Asia/Seoul,APAC,Suwon Science College,Suwon Science College,USD
MD,United States,,NA,Salisbury University,Salisbury University Guerrieri Academic Commons,USD
CA,United States,,NA,Richmond Public Library,Richmond Public Library CA,USD
,United Kingdom,Europe/London,EMEA ANZ,Stirling Council Libraries,Stirling Libraries and Archives,USD
CO,United States,,NA,Aurora Public Library,Aurora Public Library - CO,USD
Stockholm,Sweden,Europe/Brussels,EMEA ANZ,Stockholm Env Institute,Stockholm Environment Institute,USD
RI,United States,,NA,Salve Regina University,Salve Regina University McKillop Library,USD
MA,United States,,NA,Taunton Public Library,Taunton Public Library,USD
AL,United States,,NA,Samford University,Samford University Harwell Goodwin Davis Library,USD
WI,United States,,NA,Sheboygan Falls High School,Sheboygan Falls High School,USD
,Czech Republic,Europe/Prague,EMEA ANZ,Technical University Ostrava,Vysoka Skola Banska-Technicka Univerzita Ostrava,USD
DC,United States,,NA,United States Department of Commerce,US Department of Commerce,USD
,United Kingdom,Europe/London,EMEA ANZ,The Royal Marsden NHS Foundation Trust,Royal Marsden Hospital Sutton,USD
NJ,United States,,NA,South Orange Public Library,SOUTH ORANGE PUBLIC LIBRARY,USD
Tokyo,Japan,Asia/Tokyo,APAC,Tokyo Electron Limited,Tokyo Electron Kabushiki Kaisha Special Division Etch System Department,USD
RJ,Brazil,,LATAM,Centro Universitario de Volta Redonda,University Centre of Volta Redonda,USD
TN,United States,,NA,The Brentwood Library,THE BRENTWOOD LIBRARY,USD
TX,United States,,NA,Corpus Christi Public Library,Corpus Christi Public Libraries,USD
Lopburi,Thailand,Asia/Bangkok,APAC,Thepsatri Rajabhat University,Thepsatri Rajabhat University,USD
LIMA,Peru,America/Lima,LATAM,Universidad Nacional Federico Villarreal,Universidad Nacional Federico Villarreal,USD
ON,Canada,,NA,Thessalon Union Public Library,Thessalon Union Public Library,USD
NM,United States,,NA,Sandia National Laboratories,Sandia National Laboratories,USD
MN,United States,,NA,Ramsey County Public Library,Ramsey County Library,USD
CT,United States,,NA,Torrington Public Schools,Torrington Public Schools,USD
,United Kingdom,Europe/London,EMEA ANZ,Fera Science Limited,Fera Science Limited,USD
AZ,United States,,NA,Pima County Public Library,PIMA COUNTY PUBLIC LIBRARY,USD
MD,United States,,NA,St Vincent Pallotti High School,Saint Vincent Pallotti High School,USD
New South Wales,Australia,,EMEA ANZ,Australian National Institute of Management and Commerce,Australian National Institute of Management and Commerce,USD
Ciudad Autonoma de Buenos Aires,Argentina,,LATAM,Fundacion Universidad Catolica Argentina,Fundacion Universidad Catolica Argentina,USD
CA,United States,,NA,San Francisco State University,San Francisco State University J Paul Leonard Library,USD
Riyadh,Saudi Arabia,Asia/Riyadh,EMEA ANZ,Tabouk University,Tabouk University,USD
Doha,Qatar,Asia/Riyadh,EMEA ANZ,Hamad General Hospital,Hamad General Hospital,USD
,"Korea, Republic of",Asia/Seoul,APAC,Taegu University,Taegu University,USD
99,Singapore,Asia/Singapore,APAC,Ngee Ann Polytechnic,Ngee Ann Polytechnic Lien Ying Chow Library,USD
FL,United States,,NA,Tampa Hillsborough County Public Library,Tampa Hillsborough County Public Library,USD
,Singapore,Asia/Singapore,APAC,Anglo-Chinese School Independent,Anglo-Chinese School Independent,USD
FL,United States,,NA,Broward County Public Schools,Broward County Public Schools,USD
Pirkanmaa,Finland,Europe/Helsinki,EMEA ANZ,Tampereen kaupunginkirjasto,Tampere City Library-Pirkanmaa Regional Library,USD
Essonne,France,Europe/Paris,EMEA ANZ,Ecole Polytechnique,Ecole Polytechnique Bibliotheque Centrale,EUR
MD,United States,,NA,Maryland University of Integrative Health,Maryland University of Integrative Health,USD
Makkah,Saudi Arabia,Asia/Riyadh,EMEA ANZ,Taif University,Taif University,USD
ON,Canada,,NA,Brampton Library,Brampton Public Library,USD
Tokyo,Japan,Asia/Tokyo,APAC,Taiho Pharmaceutical Co Ltd,Taiho Yakuhin Kogyo Kabuhiki Kaisha Otsuka Group Kenshu Center,USD
CA,United States,,NA,San Francisco Public Library,San Francisco Public Library,USD
CT,United States,,NA,Darien Public Library CT,Darien Library,USD
,Taiwan,Asia/Taipei,APAC,Taipei City Hospital,Taipei City Hospital,USD
NJ,United States,,NA,Rahway Public Library,RAHWAY PUBLIC LIBRARY,USD
VA,United States,,NA,Army Sustainment University,Army Sustainment University International Military Student Office,USD
NY,United States,,NA,Northport Public Library,Northport Public Library,USD
CA,United States,,NA,Santa Clara University,Santa Clara University Library,USD
KY,United States,,NA,Letcher County Public Library,Letcher County Public Library,USD
VA,United States,,NA,Tidewater Community College,Tidewater Community College,USD
NY,United States,,NA,Onondaga County Public Library,Onondaga County Public Library,USD
MERSIN,Turkey,Europe/Istanbul,EMEA ANZ,Tarsus Amerikan Koleji,Tarsus American College,USD
,United Kingdom,Europe/London,EMEA ANZ,Tate Library and Archive,Tate Library and Archive,USD
,Taiwan,Asia/Taipei,APAC,Taiwan Graduate School of Theology,Taiwan Graduate School of Theology,USD
NJ,United States,,NA,Atlantic County Library,Atlantic County Library System,USD
99,Taiwan,Asia/Taipei,APAC,Tajen Institute of Technology,Tajen Institute of Technology,USD
NJ,United States,,NA,Brick Branch Ocean County Library,Ocean County Library Brick Branch,USD
